{'pitch': -0.07, 'roll': 21.09, 'pitch_output': -0.07, 'roll_output': -51.09, 'servo1_output': -49.160000000000004, 'servo2_output': 53.02, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 39.33, 'obstacle_time': 4.3, 'obstacle_interrupt': (True, 'left'), 'servo1': 4.769, 'servo2': 10.446}
{'pitch': -0.07, 'roll': 21.09, 'pitch_output': -0.07, 'roll_output': -51.09, 'servo1_output': -49.160000000000004, 'servo2_output': 53.02, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 38.9, 'obstacle_time': 4.37, 'obstacle_interrupt': (True, 'left'), 'servo1': 4.769, 'servo2': 10.446}
{'pitch': -1.05, 'roll': 22.12, 'pitch_output': -1.05, 'roll_output': -52.120000000000005, 'servo1_output': -51.17, 'servo2_output': 53.07000000000001, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 39.07, 'obstacle_time': 4.37, 'obstacle_interrupt': (True, 'left'), 'servo1': 4.657, 'servo2': 10.448}
{'pitch': -1.05, 'roll': 22.12, 'pitch_output': -1.05, 'roll_output': -52.120000000000005, 'servo1_output': -51.17, 'servo2_output': 53.07000000000001, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 38.65, 'obstacle_time': 4.37, 'obstacle_interrupt': (True, 'left'), 'servo1': 4.657, 'servo2': 10.448}
{'pitch': -3.19, 'roll': 23.73, 'pitch_output': -3.19, 'roll_output': -53.730000000000004, 'servo1_output': -54.92, 'servo2_output': 52.540000000000006, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 39.11, 'obstacle_time': 4.37, 'obstacle_interrupt': (True, 'left'), 'servo1': 4.449, 'servo2': 10.419}
{'pitch': -3.19, 'roll': 23.73, 'pitch_output': -3.19, 'roll_output': -53.730000000000004, 'servo1_output': -54.92, 'servo2_output': 52.540000000000006, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 38.71, 'obstacle_time': 4.38, 'obstacle_interrupt': (True, 'right'), 'servo1': 4.449, 'servo2': 10.419}
{'pitch': -4.42, 'roll': 24.87, 'pitch_output': -4.42, 'roll_output': 5.129999999999999, 'servo1_output': 2.709999999999999, 'servo2_output': -7.549999999999999, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 38.86, 'obstacle_time': 4.38, 'obstacle_interrupt': (True, 'right'), 'servo1': 7.651, 'servo2': 7.081}
{'pitch': -4.42, 'roll': 24.87, 'pitch_output': -4.42, 'roll_output': 5.129999999999999, 'servo1_output': 2.709999999999999, 'servo2_output': -7.549999999999999, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 38.47, 'obstacle_time': 4.38, 'obstacle_interrupt': (True, 'right'), 'servo1': 7.651, 'servo2': 7.081}
{'pitch': -6.06, 'roll': 23.98, 'pitch_output': -6.06, 'roll_output': 6.02, 'servo1_output': 1.96, 'servo2_output': -10.079999999999998, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 38.64, 'obstacle_time': 4.38, 'obstacle_interrupt': (True, 'right'), 'servo1': 7.609, 'servo2': 6.94}
{'pitch': -6.06, 'roll': 23.98, 'pitch_output': -6.06, 'roll_output': 6.02, 'servo1_output': 1.96, 'servo2_output': -10.079999999999998, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 38.27, 'obstacle_time': 4.43, 'obstacle_interrupt': (True, 'right'), 'servo1': 7.609, 'servo2': 6.94}
